sentiment,text
negative,"roxie is not feeling very well apps facebook com dogbook profile view"
neutral,"i know haha night"
neutral,"looking out the window beautiful blue sky great forecast for the weekend not good for cinemas"
neutral,"okay fine i ll start studying now bye twitter world"
neutral,"watchin scooby doo"
positive,"hey had some fun with friends now cleaning"
positive,"and the habitat is twitter active neat"
neutral,"winding down for the night rode the duc home from a b b q at my pops house time to pass out as soon as the adrenaline wears off"
neutral,"going to bed goodnight xox"
neutral,"cof cof cof"
neutral,"it s called a telephone i know it s new technology but it s the way forward"
negative,"photo hannahisdead omg i wanna read pride and prejudice and zombies fuckyeah zombies tumblr com xolqywv"
negative,"me because my ex boyfriend of years we broke up months ago is engaged to his gf of weeks sad embarrassed hug"
neutral,"granada bowl with the crew birthday bowling for fisch and me twitpic com wn"
negative,"irony inventor of ford mustang can t keep his car tinyurl com lpmvtk via"
positive,"is in the middle of the irish sea with absent elk brothers newcastle here we come we love newcastle"
neutral,"ya i did i seen all them but robert"
positive,"thank you your makeup art is top notch come to my house every morning ha ha"
negative,"i do not i rarely dye it at all the red was the first in aaaagggessss my hair just hates me"
negative,"missing from bkk na"
negative,"i think my ipod is sick it doesn t want to connect to any wi fi"
positive,"great dinner and great friends follow she is my cupcake"
negative,"has toothache"
neutral,"i guess that means you didn t beta read either of my stories huh"
neutral,"thats bad your been forced to watch that there must be a helpline you can call we are both good thanx he s asleep"
neutral,"oh my gosh i know happend yesterday"
neutral,"so so thanks i ve uploaded a new campaign vid will post the link in a few mins how are you doing babe"
negative,"i might have been a child but i was never one of those and i ve already apologised to you for it"
negative,"ndo omg i m so sorry i m the worst employee ever my hard drive just failed taking the survey data with it"
negative,"am quietly tidying up after dinner party whilst closing tupprwre lid centre island in my kitchen collapses wakes baby mayhem ensues"
negative,"they don t let the queer boys donate blood"
neutral,"off to do pilates now tweet y all soon"
positive,"morning tweethearts now home after traveling mi thru states faires in days so inspired ready to write as i enjoy coffee"
neutral,"watching matilda"
negative,"omg my right hear us blocked and it s so annoying what i i wake up deaf"
negative,"i want to become vegetarian it s going to be so hard"
negative,"i wish i could meet you once do u think this will happen someday"
negative,"lmfao omgosh when i first heard that song with you i felt like i was gonna pee myself omgosh the waltzer man lol xoxo"
negative,"i hate u s history"
positive,"for nearly a month so exciting"
neutral,"aww that sucks it wasn t that long though but dianne was so cute as usual hopeflly some mite put it on youtube s"
positive,"thanks will do"
positive,"gm tweeters happy mother s day to the mothers and pretend mothers out there"
neutral,"ah this is getting to me"
positive,"nope san leandro marina how are you hope you re well"
negative,"holy it s super sunny friday and whitsun my tube is deeeesearted wish i was in the park"
negative,"is frustrated by twitter my picture will not load"
neutral,"just got a subponea"
negative,"cutting hair allll day wish i was outside"
negative,"i wish i could go to the love music hate racism gig this weekend i m not in the right part of the world even"
neutral,"getting used to this shoulder immobilizer thing even getting used to sleeping in the recliner"
negative,"dangit cuz of this weather the house painting is going to be dragged out till next week"
neutral,"got paid nowhere near as much as she thought she would"
positive,"i ve got great expectations of tomorrow it s gonna be awesome blip fm jf"
neutral,"rain"
positive,"willhoit hoping your a c is being fixed right now for you"
negative,"well school s finally over and idk but i m sad i ll miss my teachers goodbye mrs r and mr collister"
neutral,"home from my relatives my sissy posted pics of her and our cupie cousin audrey"
neutral,"watchin hannah montana hoedown throwdown"
negative,"rblpnbro not quite where i need to be here sad but true soon however all will be well wks blip fm zve"
neutral,"omg disco is packed"
positive,"not doing single ones day beat lol but would say ur as creative bright and fun as ur avatar with warmth depth ff"
positive,"thats ok yeah i had a good night thanks glad you did too hope you enjoy your bbq"
neutral,"then u should went to vegas like u did last year i think this was around the time u killed that animal with ur old car lol"
positive,"good morning from lincolnshire i could use some exercise also"
neutral,"it s in the morning i think it s time i went to bed so goodnight everyone tumblr com xajqzv"
positive,"sunrise by blvd east is awesome now to get some sleep yay"
negative,"why am i even trying to go to sleep its c in here i miss the cold winter nights"
neutral,"wut do i do now"
neutral,"yup"
neutral,"hmmm should have looked at it a little more methinks"
negative,"aleesha s piggy died she can t catch a break man"
neutral,"i m all stuffted up but i gotta gets up go netball"
positive,"thanks but the elance course is not mine it s"
neutral,"i also realized this weekend how many people are only internet hot ok catty comment out of the way for the week"
neutral,"but but but i want steak"
neutral,"mum is driving me and the eric out to jt for the night"
neutral,"lmao i want him to reply booooo you reply to one of us lmfaoooo"
positive,"thank you judy same back at you"
positive,"now we are cuddling girl cuddles are so fun and soft"
neutral,"joining twitter just added a random person"
negative,"lmao im stupid just felt like sayin tya in my red caf vioce nite ya ll"
neutral,"sum plz cheer me up"
neutral,"off to work at the church"
neutral,"ok here is a cleaning soln blah over and out"
positive,"it s been interesting today to say the least overall a good day"
negative,"don t feel bad i got a foad for a promotion here too"
positive,"u go mariah never listen to the haters i have been a fan for so long and am so grateful for ur music can t wait the album"
neutral,"twitpic com wkr meet bella the new member of the family"
neutral,"last two and know they are going to be weepies"
neutral,"so aparently my out of sight album sampler cd only has the video on it"
negative,"just found out my abuelo in aguadilla is not doing well"
positive,"i love your show i ve subscribed and following your tweets can t wait to see more"
positive,"hi hun i really loved your tutorial yday soooo much it was one of the best tutorials i had watched in a long time"
positive,"ahhhh you are soo smart thanks for this schooling of thoughts have you taught before"
positive,"got new followers yesterday yay just need more til"
positive,"ok shopping was far too fun unpacking the bags now"
neutral,"how did your book signing go if i lived there i would ve came"
neutral,"i got me to watch it recommend some other kickass shows too phast"
positive,"x men movie was pretty good kinda predictable points but good action sequences"
positive,"just signed up on twitter yay"
negative,"why won t the kids sleep"
negative,"been working so hard its a drag not having time to tweet"
negative,"another song that makes me cry and cry all day and night long"
neutral,"at work till"
neutral,"worked out tonight had to work off the cheesecake i ate today to all the pple who are on a diet don t quit it s not worth it"
negative,"tell chris to stop making fun of lizzie"
neutral,"shep nope i really want to play it aswell"
positive,"oh good luck on the movie"
neutral,"nuthin much just gettin ready head bk wrk n u"
negative,"sorry my bad"
neutral,"girls night in portland"
neutral,"griffin i spent yesterday nursing one of those only replace vodka with wine and japanese with posh dinner"
positive,"tom do a tour in the philippines please that would be so awesome"
positive,"some of my new followers are pretty cool peeps check em out"
negative,"that sucks"
neutral,"watching bleach"
neutral,"message me to book your piercing appointment now"
negative,"fml still awake melatonin not working"
negative,"dang my own ldbf didnt give me a follow friday shot out"
negative,"they r the most random things that my mind can churn as the chennai heat gets to me i can assure u these will b more often"
negative,"i was so close to the tacos one spot too late"
neutral,"has one more paper left"
neutral,"now i m at a doppppe rock show in the les moshie moshhhh pit twitpic com wkhi"
neutral,"grand indonesia with mom n sisters"
neutral,"those were the good days the jetsons comes on right after finltstones i missed it today tho"
negative,"straycat i sorry me no like when people i like don t feel well your tummy"
neutral,"my pleasure hear kelli has new project followfriday"
neutral,"so im really borde and i dont know what i should do"
neutral,"goodnight twitter ill see you after hours of sleep or more"
neutral,"toy story pwns"
negative,"i have to say i find it very hard selling on etsy sometimes discouraging"
neutral,"yes yes i am networking to the fullest and this girl is rih next to me"
negative,"meh you should try the one on commercial drive with all the cats"
negative,"what are you confused about"
positive,"lol simpsons se first day at your new school so lisa have fun and bart don t"
negative,"being attacked with cola all sticky"
neutral,"aw"
positive,"i like it"
neutral,"download speeds are now unlimited until further notice"
positive,"okay the new jonas episode was awesome"
positive,"good morning everybody"
negative,"i feel like crying one of my diamond earrings fell out my ear bc it was loose and i can t find it i ve had them forever"
negative,"is traumatized and saddened by the baby squirells she just found on abandoned on the sidewalk"
neutral,"can t play solitaire for lol more updates soon y"
neutral,"i actually need to be cleaning my house"
negative,"it s raining again"
neutral,"ew agreed"
neutral,"i used to be but that was a while ago now your argument is pretty sound for a trolley pusher"
negative,"twitpic com khn i am very sad they cut down my pink tree i noticed it when i left today to get betos"
positive,"love the unique accordion thief buffs thank you"
negative,"craving munchkins so bad"
positive,"gurl woot"
neutral,"first time in weeks to see the clear blue sky"
negative,"i m gettin ready for my trip back to ma i don t wanna leave"
positive,"xox ur really smart"
negative,"xd si pero parece que las personas de facebook no estan de acuerdo that was probably all wrong but i tried"
neutral,"i talk to ty all the time on xbl i m sure i could manage"
negative,"thinks that my friends lifes go around with what they boyfriends do and then they have not time for us girls"
negative,"i hate exam time i want my life back also i want the ability to revise back if i ever had that ability that is"
neutral,"someone bring me milk for my cookies"
positive,"sti s doin just fine how bout you"
positive,"because i love my job"
neutral,"i will promise to bring me back something from the moon"
positive,"i wake up at during the week and funny deathcab makes me think of you i use your calendar to track work hours"
neutral,"i just watched pounds maaaannnnnnnnn"
neutral,"i know"
positive,"proof of heat good day wish i hadn t spent most of it in bed twitpic com tp"
negative,"wicked my dvb s tuner card has arrived although not sure i ll be able to get it all set up ready for the fa cup final tomorrow"
positive,"the nvidia ion based lenovo ideapad s is gd jzy is awesome fn key to left of ctrl makes it non starter for me though"
positive,"wh correspondant s dinner rocked wanda sykes was hilarious and obama wasn t too bad happy mother s day to all the mom s out there"
negative,"it s not now nor has it ever been weigly north have avoid drive home"
positive,"twitpic com gb i think so well u re lucky"
neutral,"the video is finally done wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo"
positive,"ohh that is so cute fishing is so peaceful your daughter looks so focus in what she is doing"
negative,"punkrobot wtf winter isn t due til monday am freezing"
neutral,"have you seen wolverine might want to change that pic there s a new sheriff in town"
neutral,"firefox ok but opera and ie footer is not ok"
positive,"shld says great phone"
neutral,"twitter com cruisemaniac statuses requires python but yeah as i tweeted yesterday dont install"
negative,"its friday i can t wait to be done with work stuck here till"
neutral,"morning all looks like no nintendo gameboy phone"
negative,"uff ble litt trist av lese den siste tweetsen din the challenge prooved too be tough"
neutral,"morrisons here i come"
neutral,"always write holy words in capital dude allah hafiz"
neutral,"now theres a thought do you still get goldfish at the fair not seen them for years"
negative,"ugly girls always insist on making ugly faces ugh"
neutral,"i had to make sure i was looking at the right game summary"
neutral,"off to saigon in the morning n hanoi from there"
positive,"good morning tweets"
neutral,"tps reports"
neutral,"time for bed up in hours"
negative,"sorry to disappoint"
negative,"i am so jelz i want a house"
negative,"is really ultra bored"
positive,"hmm my vpn works fine oh wait i don t need vpn anymore tinyurl com caotu"
neutral,"waiting in line for the beast with matthew i won t be riding"
neutral,"not really in the twitter mood today i don t know what to do"
positive,"watching loudquietloud documentary about the ever awesome pixies realised joey santiago and david lovering are twitterers fantastic"
neutral,"blame it on the goose gotcha feelin loose blame it on the tron gotcha in the zone michelle this is your fault lol"
neutral,"sitting and waiting and hoping this lady would hurry the hell up i hate moving it super sucks"
positive,"dane cook is at the sports arena tonight wish i had tickets"
positive,"today is days until leakycon awesome number but i wish it wasn t so far away"
positive,"thanks for the tip on otherinbox it won t work with outlook for me"
neutral,"i s sorry listen to some bats or gd as you do it dude i never got to tell you but bats were amazing"
neutral,"thank you cant wait ummm btw ima crash still sick"
neutral,"is watching because i said so"
negative,"grrh wii remote dead no multiplayer here tonight"
positive,"i need to change my ways instead of just being weak i love she s a great role model"
negative,"i just told the people that matters the most to me to just leave me alone i up again"
negative,"i m going to sleepies feel poorlies and pissed off night night tweeples"
positive,"going to see star trak expecting noting but amazing"
negative,"headache"
positive,"thx sharing"
positive,"love your desserts used to live in or but now live in tx so can t visit you"
positive,"i love my big brother very much"
neutral,"checked and commented"
negative,"oh when will end been on html version all day"
neutral,"perhaps the answers to all my questions lie in the deep waves of the ocean beach trip anyone"
positive,"chicken beer and good company makes a good night"
negative,"i am sooooooo bored in textiles"
positive,"i hve a fat kink in my neck maybe someone handsome will massage it out later we ll see"
neutral,"cloudy today"
negative,"just got back from six flags wicked fun even tho i almost died"
neutral,"ahhh twitter i havent seen you all day"
positive,"likes the reports from testers of his new package for synology diskstations plurk com p rord"
positive,"i need a huge favor of love anticipate texts from me"
neutral,"cotton candy milkshake"
neutral,"well aren t you just the kindest people in the world unfortunately i have no such enquiries"
negative,"haha i need to get in better shape first i have cageball on thursdays me dead on sofa the whole evening"
positive,"selling artwork risk game with the boys startrek just what i needed what a good day"
positive,"staff meeting today with joemo it just won t be the same travel safely we ll see you tomorrow"
neutral,"no problem dude get better soon i have a cold as well bleh"
positive,"well that was a fun evening"
neutral,"i thought people only went to hounslow when they d gone the wrong way didn t know there was anything there"
neutral,"hanging with bri"
positive,"thats nice my cousin just left my house he has daughter s their all daddy s girls so sweet"
positive,"i wish she knew what she puts me through she stole my heart never gave it back and occasionally she likes to be like look what i have"
neutral,"why did i agree to work on this gorgeous day"
positive,"good luck you i want new shoes ly x"
negative,"sad that she didn t get to see rica before she leaves later today"
neutral,"yeah me too but there isn t any prom here in germany although school is almost everywhere the same"
negative,"nothing much juss really bored hbu"
negative,"try being my height in small cars not much fun specially on bumbpy country roads haha"
positive,"lol awesome i have randoms following me"
neutral,"poor beta i took him to seattle riding on my lap on the plane he was happy here until our week long outage cold did him in"
neutral,"not playing here either"
neutral,"i had a dream that i went to evo fest but i didn t"
neutral,"we ve never heard anyone say they like doing anything on monday mornings you must have had an early cup of coffee or two"
positive,"i know right but hopefully something comes up though"
neutral,"slingalink com evice my daughters kindergarden"
negative,"yea baby im gonna miss you so much"
negative,"four shots of novacaine in my mouth my right cheek is totally numb booo"
positive,"doctor then work hope you have fun at the conditions show without me"
positive,"thanks i love a good bargain"
neutral,"i have myself barely hrs of sleep and the lord blessed me with what feels like but it came with a sore throat pumpin out this paper"
negative,"it s tongue in cheek of some mentalities there is another one which takes the piss of arabs but its too long"
positive,"thanks love btw happy mother s day to your mom"
positive,"yes nag twitter haha thanks lm"
positive,"have a happy trip"
positive,"well hopefully the rest of the day gets better"
negative,"man those people are hard to reach i ve been stalking h r"
positive,"goodnight"
positive,"school can blow me he looks nice today thoughh"
negative,"im trying to move and get up but it just hurts to much"
neutral,"went to the doctors for a physical including blood work and the eye doctors for new glasses"
neutral,"i guess it wasnt meant to be"
neutral,"i m dragging myself out of the low point slowly and with wine to assist prob not v sensible but these lows don t hit very often"
neutral,"sorry but i don t see a twitter user named"
neutral,"hey ian may din ako maybe we ll see each other or not cuz diff schools tayo hahaha la lang p"
positive,"nvm lexi s playlist is working its magic"
positive,"goodnight"
negative,"just banged my bloody foot ow"
negative,"i hate having headrush"
positive,"thanks dinno appreciate it"
negative,"i could tell its gonna be an angry day"
negative,"i think my phone has officially bit the dust"
negative,"man its weird mom s cooking is giving me so much nutrition but also so much unladylike gas"
neutral,"im so done defending him im going to bed and im gonna give my mom a happy mothers day at least ill try"
negative,"let us know what happens poor little guy"
neutral,"good morning today is my last day of freedom back to work tomorrow i m sorta stoked not stoked but well"
neutral,"you are very lucky my legs did not like how long it takes to dry my hair this morning"
negative,"son wtf she just bit holes in the bread who does that why has god forsaken me why"
positive,"i love stereosound hq headphones"
positive,"very talented sam"
positive,"bahaha loving twitter to me last night drunk lol"
negative,"is a failure"
neutral,"could get to do the honours"
negative,"not feeling too good"
negative,"dangit i just got my kiss album in and it s the wrong color"
negative,"just got off the phone with lainey the love of my life now im taken a"
negative,"hours and later and i hav a new telecom phone that dosent work stupid telecom"
negative,"summer glau to appear in dollhouse next year tinyurl com mnrezc i still can t believe they won t renew tscc"
neutral,"ack fast forward right through that coldplay song"
negative,"it s a sad day found the first scratch on my car"
positive,"thanks anita i am looking for hosting i will look at them too"
positive,"see you later lovely ladies be good i love you millions"
neutral,"yay lol now i know how you felt when i was gone"
negative,"rip omar edwards killed by friendly fire in nyc bit ly jrmv"
negative,"my guitar ain t here yet feel like i lost a limb"
negative,"i got a haircut i felt like that guy on the last samuri who was forced to have his ponytail cut off"
neutral,"nov th"
neutral,"not really stuck on f but as the weather is here today i might just stay in and watch it"
neutral,"crab boat i have my mobile set to go off every night to remind me to head to bed"
neutral,"i watched a little today didn t know you were sick you did awesome nonetheless hope u feel better"
negative,"that s so weird seeing your myspace page without me there had to delete my page though"
positive,"i love this our body should tell us how much sleep it needs and its always good to be mindful at mealtimes"
negative,"last day working for the uni today sad times"
negative,"pku meeting in london on all day today one of my favorite pkuers jessie not there he has pku and leukemia and was in the hospital"
neutral,"dont you think this tour went fast i do"
neutral,"i agree they will start and i forgot all that news is ht"
positive,"goodnite sexy twiggas"
positive,"dont be gloomy go out and get urself ice cream or gin whichever"
positive,"i wish my grandmother had taken me to the us with her"
positive,"chilling with my baybee sarah i love this girl"
positive,"chillin wassup ma ayo in cali my day just started idk where u r but u have a gud day ya diggg"
positive,"may the th be with you happy star wars day"
positive,"wishing a happy mothers day"
positive,"ammoxxx great day woman did you notice the smile that never disappeared off my face ha murray all cos of you i owe you"
positive,"grrrl you have the sweetest children you are obviously a great mom i loved reading your blog w their msgs to you kudos"
positive,"i love fresh garden veggies especially tomatoes we are in a tiny apartment with a non sunny patio"
neutral,"off to the family party"
positive,"it s fun"
neutral,"pfft there you go with the logic again"
negative,"gonna miss the girlys soo super loads wish i wasn t going for weeks it s wayy to long"
negative,"sorry i couldn t help it twas to try and get if on the trending topics"
neutral,"hey how are you you found me"
negative,"specially when you re already burneded wore mums shoes as well and now im all blistered it sucks balls"
neutral,"lol but they aren t here i ll tell them to do that monday lol"
negative,"listen to ftsk they stop my bordum haha how was your day finished crying about harold ha"
positive,"c hahaha i agree im s glad aiden won tonights show and greg should have got the other place"
negative,"ok i am finally starting to hit a draw but now my short game has gone to"
positive,"coldstone with kayla and some fat guys but she is all that matters"
neutral,"i flew from washington to calfornia are you still gonna be at the meet greet tomorrow"
positive,"excited for ysj summer ball i wish we had one too"
neutral,"off to my psychology class"
negative,"elaine our chandelier is here i seriously don t know how get it through our door without sending it crashing down our steps"
positive,"congrats mine that bird for being an underdog and kicking the out of all the other runners yesterday i love seeing that happen"
positive,"the coolest foreign words the english language needs check the number one amazing is gd sb"
neutral,"i know i have no clean clothes either and the washer s in the kitchen you kitchenfire"
positive,"back in durango chaperoning a party interesting catching up on my internet surfing and drinking a woodchuck ha"
negative,"selling my drumset sad day"
neutral,"home in carlsbad with the whole family for mother s day"
negative,"i m not they frighten me to death i just like to see all the boys in their leathers we go every year brilliant atmos"
neutral,"vip bye bye beard"
positive,"awh i forgot you had the pox hope you get better soon"
positive,"like why the am i still up maybe because im drunk as hell and had a great time tonight was crazy"
neutral,"gonna eat pizza what are you doing"
positive,"i hope you get well soon"
negative,"getting ready for school reading what s going on on set in montepulciano and practically crying cause i m not there"
negative,"is soooo hungry right now why is it not lunch time"
neutral,"good times haha ily christian and mo gonna watch dazed and confused in a while ha also my first time watching it ha im so lame"
positive,"good morning twitter world raining in dingle hopefully means a busy day for me"
neutral,"going home"
negative,"dog just farted so bad"
neutral,"almost all are here now tomorrow at we start km s of mud mobypicture com zxt"
neutral,"this really sucks i m supposed to be home in a couple of days and i m not i hate borders and visa s"
neutral,"day without shower no end in sight there is stuff between my toes"
negative,"without whipped topping there is no shortcake shortcakefail"
positive,"thanks for sharing it anything about coffee is good i m a big fan can t live w o it"
neutral,"go to my father s house or not that is the question domestic food and people around me vs my bed my tv and my world dont know"
negative,"cant believe there had been nice weather all day and i was stuck in doors all day"
negative,"im sadd sancha june for me is a fail its gonna be you and chini"
negative,"fc is finally up again it s about time i hate that this keeps happening"
negative,"thanks to the forever curse that makes you spend hours there everytime you go in i couldnt go tanning today"
positive,"twitpic com ukqe haha cute and beautiful u r cool miley"
positive,"cheer up buttercup rain will go away and hearts always mend i can actually bet on that"
negative,"uh oh"
negative,"i m being so whiny right now i m annoying myself i need to get some rest tonight after movie night kid sitting"
neutral,"days till my th b day"
positive,"skipping school like all the cool kids do"
neutral,"the only way i ll feel safe is when he s finally in jail where his stalker belongs"
negative,"what did she ever do to piss them off i thought you just meant casting related not more of that"
neutral,"i am sucking with the abbreviation today sorry my sentences look like my eight year old is typing them lol"
negative,"still no pool key wth it s even hot out today"
neutral,"that s it i m hooked"
positive,"tyler perry is hilarious i think i will i m off to bed though so i tweet ya in the morning goodnight"
positive,"thanks babe i guess i will find the right person one day til then i m better off alone"
neutral,"last i looked hi back"
negative,"can i get some gd news for gods sake"
neutral,"is gd wxmt and may the source be with you"
neutral,"you are an early bird too i see"
neutral,"fiona is sad because there wasn t enought room in megan s suitcase for her apps facebook com dogbook profile view"
negative,"now that hugh laurie has mentioned he follows on twitter thousands of idiots think this is him idiots"
positive,"i love metal gear solid and valkyria chronicles"
positive,"that s good to hear morning"
negative,"i did many things but missed tweeting"
negative,"being drunk and hot sucks"
positive,"hope everyone is okay especially americans who are affected by the fire or the swine flu hn okay i should pray for them"
negative,"hey sorry i didn t see ur message to me"
neutral,"living in harlem i can say for sure that there is far more pollution here than in other parts of nyc where i ve lived"
positive,"i love my mom yo amo a mi mama thank you mommy ti amo con tutto il mio cuore happy mother s day"
neutral,"um k this is not close my eyes this song always makes me cry bc my mom is gone but i it anyway"
positive,"don t ask hoping that today will be an improvment on the rest of the week looking forward to the weekend weather"
negative,"oh no i need new work shoes i broke this one"
positive,"goodnight baby loll jk night"
negative,"my sensors don t seem to want to last for more than days"
negative,"can t believe i wasn t following you am now have an anatomy prac tmw so tonight i m all about structr of the lwr limb"
positive,"ushers you guys made mother s day really awesome today thanks for coming in early to prep the surprise gifts for all our moms"
positive,"happy mother s day to all mothers out there"
neutral,"i want my face to be a somatic drawing of david lanham or i want a leopard theme his somatic theme im so sad im such a big fan"
negative,"its impossible to watch in full any flash video with my mac after"
neutral,"it s a windy and rainy day"
neutral,"cleaning the apartment again who keeps making this mess oh yeah me hug for the person to help come clean"
neutral,"you can crash you will just have to drive alone besides i can t crash i gotta work lol"
neutral,"is back in sunny degree weather though"
neutral,"pase i guess u ain like me den my hair cut short lol"
positive,"she does especially pink ones lol what beautiful creatures they are"
positive,"amazing tonight glad i could share it with you baby you are my sunshine"
negative,"so tired and i don t know why"
neutral,"i have a cam sesh lined up tomorrow with my cs winner ill post screen shots in my lj friends only unless you convince me otherwise"
positive,"up way way way to early this am thanks benson"
neutral,"why does my cousin pick today to not turn up early"
negative,"phil i miss you gracin ya with your presence i haven t been on much what s new"
negative,"is sick tired of being sick tired"
positive,"happy mums day this is nelly s shout out skitch com t tac"
negative,"watching my ard earn money dissapear"
negative,"getting used to getting up in the cold but my asthma is paying for it"
negative,"i m so tired i don t get how i am i sat on the lawn mower and didn t push the whole thing"
negative,"are you blogging yet i miss you writing"
neutral,"the tree lined avenue begins to fade from view drowning past regrets in tea and cigarettes but i cant seem to forget when you came along"
negative,"hours of sleep a migraine again what is wrong with me hate my life"
neutral,"ryaaaaaaaaaaaaan bit ly snjen"
positive,"thanking god for after elton for allowing me to see the new tw trailer since work blocked youtube and lj"
neutral,"hahaha sa una lang yan i started with minutes ng k that was a year ago"
positive,"aww i wish there was sun out here then i can get a tan walks it out go meee go meeee"
neutral,"looks like you need a local marketing person i m booked for gigs in vegas that day"
negative,"i think i lost all of my blog posts"
negative,"thought u said twitter was bellion"
positive,"finally got home and get to sleep had a great time with and friends"
neutral,"got that right and i know when i found out she wasn t coming i cried it really sucks but im still happy she headlining now"
neutral,"how is it that my preschoolers can bowl over a hundred when they weigh only lbs today was there last day for the year"
negative,"so upset"
neutral,"me confused about a guy he s great but why am i pushing him away"
neutral,"today in a week i am yiha"
neutral,"feeling the effects of the party last night drank far too much chicken burgers and one lamb burger i did dance a fair bit tho"
negative,"twitpic com tcr ouch burnt my arm on the grill"
neutral,"heading to bed with tea to finish breaking dawn"
positive,"good stuff i m great thanks x"
negative,"still stupidly sick cancelled our philly trip sad day"
positive,"my degree tear happy moment mypict me zpf"
negative,"shelf from ikea fell off the wall damage done about worth or at least thats my estimate"
negative,"anyone want to stop by carl s jr and bring me a chicken club can barely walk"
negative,"i have started saving my tumblr drafts because that happened to me this week and i was so sad"
neutral,"auditions are good but iam super nervous that is one of my virtues"
neutral,"just got to school goin to cinncinatti wednesday"
negative,"taking sad to a whole new level"
positive,"very interested however low carbs for the next month means no beer for me"
positive,"thx i became ibm master inventor in really enjoyed your blog particularly with the vegan tag"
positive,"heya thanks for accepting the add"
negative,"i have been getting ones as i mentioned all these girls seem to be at a loss what to do"
negative,"lady gaga tweeted about not being impressed by her video leaking just so you know"
negative,"i hate dreaming that your at some awesome party and you wake up at home there was jager at the party too"
negative,"y do i even bother getting a new fone i just break them anyway fones dont float especially when thrown in the pool"
negative,"lol zzzzy in office and i m alone in my bay again"
neutral,"alarm watch pill name display for functioning alzheimer patients w b key hear alarm ask what is that noise about"
negative,"i was screaming like a maniac but the thing was u couldn t scream on the ride which sucked the fun out of everything so"
neutral,"thanks okiebud i get the message sorry the content you selected is not currently available"
positive,"you are welcome xuxu"
positive,"baseball games whoo hooo when to banquet yesterday at the hyhtt sooo fun"
positive,"thx for the tip how did you figure that one out"
negative,"cant believe tila tequila was in ct and i didnt know so upset"
negative,"lmao i don t fake being paris anymore look at my bio and by the way i can t log onto your forum"
neutral,"crabs are amazing well as long as they re not in your pants"
positive,"hope you have fun tonight"
neutral,"just picked her kids up from challenger for the last time"
negative,"got my hair rebonded at some korean place dude my hair is f in fried cut already now just chopping it off"
negative,"my plans might have just gone out the window too bit gutted"
negative,"given the way kunal khemu etc starrers turn out there is a high probability of it being rather than niche"
positive,"well i just need to get some motivation and also to do my homework and essay and it s such a lovely day how"
negative,"don t be mad at me please puppy dog eyes"
neutral,"at least more days"
positive,"happy mother s day show some love to your beautiful and amazing mom"
negative,"those houses were a bust house smelled like a bowling alley and was maaad gross and house needed a new roof and basement"
positive,"good morning to you its so pretty outside today"
negative,"nope het is lost found he"
neutral,"if you are new and in need of a few followers say tweet me person with lowest followers will get a shout out u have mins"
neutral,"i dont know"
negative,"got stuck in a traffic jam today i now have one sunburned arm"
neutral,"on my way to cp got some work there"
neutral,"now on pg night"
positive,"why yes a bag of goodies lol"
positive,"atwork agree totally think though if we can take a point off everton and liverpool beat man city we are happy days"
positive,"i love electro house"
negative,"wtf kinda best friend am i i still haven t met the hubby that depresses me"
neutral,"bloggerific ha nice try i will outright deny any accusations but good luck with that"
neutral,"it was fine i was still up playing infamous sorry to hear how things ended up again"
neutral,"drinks din w amy and lori"
negative,"hahaha well its try its so ugly"
positive,"nd breakfast i want more food lol tweet me what breakfast you re having loooooolding"
negative,"i sadly have no voice after the food faire and the academic pep rally i need my voice"
positive,"dubai enjoy sounds idyllic and geordiebird has lost her bikini perfect holiday"
neutral,"no twtvite com koyqo have to miss this now because of other engagements"
neutral,"f you very very much willkommen im twitterland"
neutral,"sunshine is back having a hair day new due"
negative,"man icant send love on bebo cuz im on skoo comps ugh thiss sucks"
negative,"ugh gone through new phones and now my screen is black which means no texting"
positive,"they look nice atleast haha"
positive,"yum chocolate sorbet she barely even shared twitpic com azl"
negative,"i have computers all going now ie on xp and ie on vista all are still no shows"
negative,"at school it s so boring"
neutral,"yeah except the spurs aren t in the champs like they usually are"
neutral,"i hate windows i miss my lovely ubuntu i m such a nerd haha"
negative,"you re mean to me you re gonna have to have pizza tonight or it will go off"
neutral,"i havent got a call"
positive,"i ditched school i hate it and im taking a huge dump it hurts real bad"
neutral,"started using the branch"
positive,"yes people skills and social manners are quite nice if you a few billion guess you need more love to gently guide you"
positive,"yay congratulations oh newly minted graduate you ll have to let me buy you lunch and iced chocolates plural to celebrate"
positive,"hey at home about to sleep i cant believe weekend finished so fast happy mothers day good morning and have a great sleep"
negative,"this porridge tastes i cba with today man"
neutral,"that is messed up i hope your day gets better"
positive,"just read up on your mom hope she s okay"
neutral,"facebook group world leaders www theatlantic com a facebookhumor mhtml"
positive,"free free free just a pesky registration but after that enjoy bit ly rlqgu"
positive,"this cigarette is so relaxing"
neutral,"princess hehehe barry killer u need a pic"
negative,"sooo im n im just now findin out i have asthma"
negative,"to start or leave alone tough decision"
negative,"miss you my dear"
neutral,"ducked off i ll be back in ga tomorrow"
positive,"i m not giving up bit ly snjen"
neutral,"shows how twitaddicted you can get"
negative,"complicated with a dream"
positive,"thanks and to you as well"
